# time,JS220-005622.i,JS220-005622.v
1.835501659661531448e-02,2.118758112192153931e-02,5.110704421997070312e+00
1.842501666396856308e-02,2.157857269048690796e-02,5.110675334930419922e+00
1.849501673132181168e-02,2.207542955875396729e-02,5.110722541809082031e+00
1.856501679867506027e-02,2.233494073152542114e-02,5.110006809234619141e+00
1.863601617515087128e-02,2.182140015065670013e-02,5.110832214355468750e+00
1.870601624250411987e-02,2.163935638964176178e-02,5.110481262207031250e+00
1.877601630985736847e-02,2.237354032695293427e-02,5.110310554504394531e+00
1.884601637721061707e-02,2.195132151246070862e-02,5.110886573791503906e+00
1.891601644456386566e-02,2.162210084497928619e-02,5.111135482788085938e+00
1.898601651191711426e-02,2.211129479110240936e-02,5.110507011413574219e+00
1.905601657927036285e-02,2.201059088110923767e-02,5.110073566436767578e+00
1.912601664662361145e-02,1.974738575518131256e-02,5.111588478088378906e+00
1.919601671397686005e-02,2.022640407085418701e-02,5.110694885253906250e+00
1.926601678133010864e-02,2.050615474581718445e-02,5.111327171325683594e+00
1.933601684868335724e-02,2.034786343574523926e-02,5.111014366149902344e+00
1.940601691603660583e-02,2.208113111555576324e-02,5.110764026641845703e+00
1.947601698338985443e-02,2.168841660022735596e-02,5.110416412353515625e+00
1.954601705074310303e-02,2.206410653889179230e-02,5.110370159149169922e+00
1.961601711809635162e-02,2.183956839144229889e-02,5.110881328582763672e+00
1.968601718544960022e-02,2.155544608831405640e-02,5.109861850738525391e+00
1.975601725280284882e-02,2.141690999269485474e-02,5.110969543457031250e+00
1.982701756060123444e-02,1.976551674306392670e-02,5.111326694488525391e+00
1.989701762795448303e-02,2.021356672048568726e-02,5.111140251159667969e+00
1.996701769530773163e-02,2.001577615737915039e-02,5.110998630523681641e+00
2.003701776266098022e-02,2.024702169001102448e-02,5.111492156982421875e+00
2.010701783001422882e-02,2.000326476991176605e-02,5.111504554748535156e+00
2.017701789736747742e-02,2.038026787340641022e-02,5.111264705657958984e+00
2.024701796472072601e-02,2.011043950915336609e-02,5.110994815826416016e+00
2.031701803207397461e-02,2.082228474318981171e-02,5.110875606536865234e+00
2.038701809942722321e-02,2.199620008468627930e-02,5.110163688659667969e+00
2.045701816678047180e-02,2.232545427978038788e-02,5.110595703125000000e+00
2.052701823413372040e-02,2.154640853404998779e-02,5.110587120056152344e+00
2.059701830148696899e-02,2.240417897701263428e-02,5.110881805419921875e+00
2.066701836884021759e-02,2.214548550546169281e-02,5.110898971557617188e+00
2.073701843619346619e-02,2.184573747217655182e-02,5.110746383666992188e+00
2.080701850354671478e-02,2.172398194670677185e-02,5.110616683959960938e+00
2.087701857089996338e-02,2.084510400891304016e-02,5.111696243286132812e+00
2.094701863825321198e-02,2.102216333150863647e-02,5.111555576324462891e+00
2.101801894605159760e-02,1.994093507528305054e-02,5.111820697784423828e+00
2.108801901340484619e-02,2.051715366542339325e-02,5.111503124237060547e+00
2.115801908075809479e-02,2.015704102814197540e-02,5.111834526062011719e+00
2.122801914811134338e-02,1.944956555962562561e-02,5.112000942230224609e+00
2.129801921546459198e-02,2.033771574497222900e-02,5.112002372741699219e+00
2.136801928281784058e-02,2.136641927063465118e-02,5.110725402832031250e+00
2.143801935017108917e-02,2.198451571166515350e-02,5.110895633697509766e+00
2.150801941752433777e-02,2.199168689548969269e-02,5.111015796661376953e+00
2.157801948487758636e-02,2.172278240323066711e-02,5.110991954803466797e+00
2.164801955223083496e-02,1.991179399192333221e-02,5.111439228057861328e+00
2.171801961958408356e-02,2.001471817493438721e-02,5.111890792846679688e+00
2.178801968693733215e-02,2.045438997447490692e-02,5.111495971679687500e+00
2.185801975429058075e-02,2.040076814591884613e-02,5.111126422882080078e+00
2.192801982164382935e-02,1.983298920094966888e-02,5.111620903015136719e+00
2.199801988899707794e-02,2.004974335432052612e-02,5.111364364624023438e+00
2.206801995635032654e-02,2.026527933776378632e-02,5.111831665039062500e+00
2.213901933282613754e-02,1.995867118239402771e-02,5.111020565032958984e+00
2.220901940017938614e-02,2.024986408650875092e-02,5.111508369445800781e+00
2.227901946753263474e-02,2.016205340623855591e-02,5.111303806304931641e+00
2.234901953488588333e-02,2.099925279617309570e-02,5.111673831939697266e+00
2.241901960223913193e-02,2.129633724689483643e-02,5.110825061798095703e+00
2.248901966959238052e-02,2.236252091825008392e-02,5.110920906066894531e+00
2.255901973694562912e-02,2.125358022749423981e-02,5.110617637634277344e+00
2.262901980429887772e-02,2.089474536478519440e-02,5.111966133117675781e+00
2.269901987165212631e-02,2.043453231453895569e-02,5.111233711242675781e+00
2.276901993900537491e-02,2.039516344666481018e-02,5.111262798309326172e+00
2.283902000635862350e-02,1.980470120906829834e-02,5.111418247222900391e+00
2.290902007371187210e-02,2.013700827956199646e-02,5.111063003540039062e+00
2.297902014106512070e-02,2.009992115199565887e-02,5.111364841461181641e+00
2.304902020841836929e-02,2.028260566294193268e-02,5.111567974090576172e+00
2.311902027577161789e-02,1.997577585279941559e-02,5.111729145050048828e+00
2.318902034312486649e-02,2.036186493933200836e-02,5.111536979675292969e+00
2.325902041047811508e-02,2.011570706963539124e-02,5.111350059509277344e+00
2.333002071827650070e-02,1.974834874272346497e-02,5.112206935882568359e+00
2.340002078562974930e-02,2.205742709338665009e-02,5.110390186309814453e+00
2.347002085298299789e-02,2.212394960224628448e-02,5.110663890838623047e+00
2.354002092033624649e-02,2.175425738096237183e-02,5.110708236694335938e+00
2.361002098768949509e-02,2.196579799056053162e-02,5.110942840576171875e+00
2.368002105504274368e-02,2.164789848029613495e-02,5.110742568969726562e+00
2.375002112239599228e-02,2.196908369660377502e-02,5.110800266265869141e+00
2.382002118974924088e-02,2.187286689877510071e-02,5.110798835754394531e+00
2.389002125710248947e-02,2.226184122264385223e-02,5.110593318939208984e+00
2.396002132445573807e-02,2.095569670200347900e-02,5.111608982086181641e+00
2.403002139180898666e-02,1.980413310229778290e-02,5.111340045928955078e+00
2.410002145916223526e-02,2.063795365393161774e-02,5.111206054687500000e+00
2.417002152651548386e-02,2.029242180287837982e-02,5.110829830169677734e+00
2.424002159386873245e-02,2.028600685298442841e-02,5.111526012420654297e+00
