# time,JS220-005622.i,JS220-005622.v
8.261711243540048599e-02,1.523156464099884033e-01,5.055503368377685547e+00
8.276611287146806717e-02,1.647870242595672607e-01,5.049914360046386719e+00
8.291511330753564835e-02,1.603040099143981934e-01,5.052031040191650391e+00
8.306511305272579193e-02,1.565433293581008911e-01,5.053648948669433594e+00
8.321411348879337311e-02,1.567807197570800781e-01,5.053325653076171875e+00
8.336311392486095428e-02,1.562098711729049683e-01,5.053764343261718750e+00
8.351211436092853546e-02,1.566641926765441895e-01,5.053690433502197266e+00
8.366111386567354202e-02,1.648332476615905762e-01,5.049931049346923828e+00
8.381011430174112320e-02,1.605317741632461548e-01,5.051754951477050781e+00
8.395911473780870438e-02,1.518008261919021606e-01,5.055263042449951172e+00
8.410911448299884796e-02,1.522486060857772827e-01,5.055189132690429688e+00
8.425811491906642914e-02,1.532693803310394287e-01,5.054704666137695312e+00
8.440711535513401031e-02,1.530457586050033569e-01,5.054972648620605469e+00
8.455611579120159149e-02,1.526355892419815063e-01,5.054972171783447266e+00
8.470511529594659805e-02,1.527538150548934937e-01,5.054688453674316406e+00
8.485411573201417923e-02,1.570915728807449341e-01,5.053081512451171875e+00
8.500311616808176041e-02,1.601728945970535278e-01,5.051979064941406250e+00
8.515211660414934158e-02,1.606655865907669067e-01,5.051576614379882812e+00
8.530211634933948517e-02,1.631249189376831055e-01,5.050982952117919922e+00
8.545111678540706635e-02,1.618224233388900757e-01,5.051424026489257812e+00
8.560011722147464752e-02,1.622086763381958008e-01,5.050955772399902344e+00
8.574911672621965408e-02,1.628561615943908691e-01,5.050646781921386719e+00
8.589811716228723526e-02,1.629814654588699341e-01,5.050753116607666016e+00
8.604711759835481644e-02,1.533054858446121216e-01,5.054985523223876953e+00
8.619611803442239761e-02,1.531137228012084961e-01,5.054965496063232422e+00
8.634511753916740417e-02,1.529575735330581665e-01,5.055004596710205078e+00
8.649511821568012238e-02,1.526931077241897583e-01,5.055367946624755859e+00
8.664411865174770355e-02,1.526996195316314697e-01,5.055090427398681641e+00
8.679311815649271011e-02,1.525840610265731812e-01,5.055107116699218750e+00
8.694211859256029129e-02,1.605702489614486694e-01,5.051521778106689453e+00
8.709111902862787247e-02,1.673299074172973633e-01,5.048859119415283203e+00
8.724011946469545364e-02,1.580708324909210205e-01,5.053006649017333984e+00
8.738911896944046021e-02,1.576502919197082520e-01,5.052731037139892578e+00
8.753911964595317841e-02,1.763769835233688354e-01,5.044242382049560547e+00
8.768812008202075958e-02,1.784837543964385986e-01,5.043824672698974609e+00
8.783711958676576614e-02,1.764562577009201050e-01,5.044766902923583984e+00
8.798612002283334732e-02,1.728137135505676270e-01,5.046402931213378906e+00
8.813512045890092850e-02,1.716491132974624634e-01,5.046626567840576172e+00
8.828412089496850967e-02,1.717666238546371460e-01,5.046875000000000000e+00
8.843312039971351624e-02,1.739543229341506958e-01,5.045781135559082031e+00
8.858212083578109741e-02,1.749141365289688110e-01,5.045238971710205078e+00
8.873212151229381561e-02,1.729232221841812134e-01,5.045927047729492188e+00
8.888112101703882217e-02,1.725320667028427124e-01,5.046140670776367188e+00
8.903012145310640335e-02,1.742644459009170532e-01,5.045528411865234375e+00
8.917912188917398453e-02,1.756594479084014893e-01,5.044774055480957031e+00
8.932812232524156570e-02,1.794263124465942383e-01,5.043655872344970703e+00
8.947712182998657227e-02,1.568164825439453125e-01,5.052852153778076172e+00
8.962612226605415344e-02,1.531964242458343506e-01,5.054580211639404297e+00
8.977512270212173462e-02,1.561691910028457642e-01,5.053287506103515625e+00
8.992512244731187820e-02,1.564509272575378418e-01,5.053509712219238281e+00
9.007412288337945938e-02,1.601128876209259033e-01,5.051801681518554688e+00
9.022312331944704056e-02,1.590914428234100342e-01,5.052407741546630859e+00
9.037212375551462173e-02,1.580065637826919556e-01,5.052548408508300781e+00
9.052112326025962830e-02,1.588291674852371216e-01,5.052324295043945312e+00
9.067012369632720947e-02,1.601551622152328491e-01,5.051911354064941406e+00
9.081912413239479065e-02,1.562357395887374878e-01,5.053222179412841797e+00
9.096812456846237183e-02,1.531331986188888550e-01,5.054435729980468750e+00
9.111812431365251541e-02,1.552560180425643921e-01,5.053832054138183594e+00
9.126712474972009659e-02,1.580741852521896362e-01,5.052604675292968750e+00
9.141612518578767776e-02,1.581820249557495117e-01,5.052665233612060547e+00
9.156512469053268433e-02,1.584678888320922852e-01,5.052313804626464844e+00
9.171412512660026550e-02,1.595633476972579956e-01,5.051866054534912109e+00
9.186312556266784668e-02,1.575191617012023926e-01,5.052608013153076172e+00
9.201212599873542786e-02,1.578463166952133179e-01,5.052595615386962891e+00
9.216212574392557144e-02,1.556816697120666504e-01,5.053713798522949219e+00
