# time,JS220-005622.i,JS220-005622.v
1.566902641206979752e-02,2.611452639102935791e-01,5.009727954864501953e+00
1.570702623575925827e-02,2.601470649242401123e-01,5.009484291076660156e+00
1.574502605944871902e-02,2.608201801776885986e-01,5.009223461151123047e+00
1.578302588313817978e-02,2.619808316230773926e-01,5.008738517761230469e+00
1.582102663815021515e-02,2.613386511802673340e-01,5.009074211120605469e+00
1.585902646183967590e-02,2.597588896751403809e-01,5.009139060974121094e+00
1.589702628552913666e-02,2.620076537132263184e-01,5.009326457977294922e+00
1.593502704054117203e-02,2.643477618694305420e-01,5.008656501770019531e+00
1.597302686423063278e-02,2.607970833778381348e-01,5.009693145751953125e+00
1.601102668792009354e-02,2.609303593635559082e-01,5.008846282958984375e+00
1.604902651160955429e-02,2.594980299472808838e-01,5.010214805603027344e+00
1.608702726662158966e-02,2.608528435230255127e-01,5.009617805480957031e+00
1.612502709031105042e-02,2.599542737007141113e-01,5.009675025939941406e+00
1.616302691400051117e-02,2.607236206531524658e-01,5.009618282318115234e+00
1.620102673768997192e-02,2.615443766117095947e-01,5.009217262268066406e+00
1.623902749270200729e-02,2.619982659816741943e-01,5.008911609649658203e+00
1.627702731639146805e-02,2.602486014366149902e-01,5.009043693542480469e+00
1.631502714008092880e-02,2.620514929294586182e-01,5.009099960327148438e+00
1.635302696377038956e-02,2.614189982414245605e-01,5.009413242340087891e+00
1.639102771878242493e-02,2.624478936195373535e-01,5.008419036865234375e+00
1.642902754247188568e-02,2.615972161293029785e-01,5.009350776672363281e+00
1.646702736616134644e-02,2.620744109153747559e-01,5.008530139923095703e+00
1.650502718985080719e-02,2.624177634716033936e-01,5.008829116821289062e+00
1.654302794486284256e-02,2.612411677837371826e-01,5.008702278137207031e+00
1.658102776855230331e-02,2.635983824729919434e-01,5.008389949798583984e+00
1.661902759224176407e-02,2.621091604232788086e-01,5.009171485900878906e+00
1.665702741593122482e-02,2.609252035617828369e-01,5.008693695068359375e+00
1.669502817094326019e-02,2.631347179412841797e-01,5.008536338806152344e+00
1.673402823507785797e-02,2.603387534618377686e-01,5.009371757507324219e+00
1.677202805876731873e-02,2.634581029415130615e-01,5.008289813995361328e+00
1.681002788245677948e-02,2.626279294490814209e-01,5.009117126464843750e+00
1.684802770614624023e-02,2.593129575252532959e-01,5.009478092193603516e+00
1.688602846115827560e-02,2.593783140182495117e-01,5.010573863983154297e+00
1.692402828484773636e-02,2.126506716012954712e-01,5.030411243438720703e+00
1.696202810853719711e-02,2.337419092655181885e-01,5.018910884857177734e+00
1.700002886354923248e-02,2.644222378730773926e-01,5.007061481475830078e+00
1.703802868723869324e-02,6.781047582626342773e-01,4.813675880432128906e+00
1.707602851092815399e-02,8.290190100669860840e-01,4.765385150909423828e+00
1.711402833461761475e-02,8.437613248825073242e-01,4.760440826416015625e+00
1.715202908962965012e-02,8.233399987220764160e-01,4.767961502075195312e+00
1.719002891331911087e-02,7.726184129714965820e-01,4.791531562805175781e+00
1.722802873700857162e-02,7.510452866554260254e-01,4.798334598541259766e+00
1.726602856069803238e-02,7.261358499526977539e-01,4.810249805450439453e+00
1.730402931571006775e-02,7.367848157882690430e-01,4.805159091949462891e+00
1.734202913939952850e-02,7.677786946296691895e-01,4.790901184082031250e+00
1.738002896308898926e-02,7.540689110755920410e-01,4.798438549041748047e+00
1.741802878677845001e-02,7.410759329795837402e-01,4.804137706756591797e+00
1.745602954179048538e-02,6.875048279762268066e-01,4.828401565551757812e+00
1.749402936547994614e-02,6.709653139114379883e-01,4.832593441009521484e+00
1.753202918916940689e-02,7.116819024085998535e-01,4.816114902496337891e+00
1.757002901285886765e-02,6.467592716217041016e-01,4.852438449859619141e+00
1.760802976787090302e-02,3.043798506259918213e-01,4.996293067932128906e+00
1.764602959156036377e-02,1.905445307493209839e-01,5.040820121765136719e+00
1.768402941524982452e-02,1.910191625356674194e-01,5.037890434265136719e+00
1.772202923893928528e-02,2.053539305925369263e-01,5.032650470733642578e+00
1.776002999395132065e-02,2.083903551101684570e-01,5.030856609344482422e+00
1.779802981764078140e-02,2.226131409406661987e-01,5.023870468139648438e+00
1.783602964133024216e-02,2.594832777976989746e-01,5.009517669677734375e+00
1.787402946501970291e-02,2.629532516002655029e-01,5.008329391479492188e+00
1.791203022003173828e-02,2.531482577323913574e-01,5.012570381164550781e+00
1.795103028416633606e-02,2.484090775251388550e-01,5.015099525451660156e+00
1.798903010785579681e-02,2.483812123537063599e-01,5.014823913574218750e+00
1.802702993154525757e-02,2.364486008882522583e-01,5.020611763000488281e+00
1.806502975523471832e-02,2.386353760957717896e-01,5.018538475036621094e+00
1.810303051024675369e-02,2.417614907026290894e-01,5.018074989318847656e+00
1.814103033393621445e-02,2.065428495407104492e-01,5.032645225524902344e+00
1.817903015762567520e-02,1.998175829648971558e-01,5.035661697387695312e+00
1.821703091263771057e-02,2.016639262437820435e-01,5.034076690673828125e+00
1.825503073632717133e-02,2.029921859502792358e-01,5.033518791198730469e+00
1.829303056001663208e-02,2.032009810209274292e-01,5.033871650695800781e+00
1.833103038370609283e-02,2.020918875932693481e-01,5.034385681152343750e+00
1.836903113871812820e-02,2.046250551939010620e-01,5.033086299896240234e+00
1.840703096240758896e-02,2.034732252359390259e-01,5.034116744995117188e+00
1.844503078609704971e-02,2.023286968469619751e-01,5.034246444702148438e+00
1.848303060978651047e-02,2.019214779138565063e-01,5.034080982208251953e+00
1.852103136479854584e-02,2.018011957406997681e-01,5.033782482147216797e+00
1.855903118848800659e-02,2.045407295227050781e-01,5.033206462860107422e+00
1.859703101217746735e-02,2.023902982473373413e-01,5.033946514129638672e+00
1.863503083586692810e-02,2.045448571443557739e-01,5.032900810241699219e+00
1.867303159087896347e-02,2.040519118309020996e-01,5.033574581146240234e+00
1.871103141456842422e-02,2.041660547256469727e-01,5.032825469970703125e+00
1.874903123825788498e-02,2.034013122320175171e-01,5.033350467681884766e+00
1.878703106194734573e-02,2.033346146345138550e-01,5.033684730529785156e+00
1.882503181695938110e-02,2.033716142177581787e-01,5.033756256103515625e+00
1.886303164064884186e-02,2.022647708654403687e-01,5.034034729003906250e+00
1.890103146433830261e-02,2.022922188043594360e-01,5.034155368804931641e+00
1.893903128802776337e-02,2.004604786634445190e-01,5.034785747528076172e+00
1.897703204303979874e-02,2.026226073503494263e-01,5.034475326538085938e+00
1.901503186672925949e-02,2.149907946586608887e-01,5.027597427368164062e+00
1.905303169041872025e-02,3.259339332580566406e-01,4.974047183990478516e+00
1.909103151410818100e-02,4.767647981643676758e-01,4.916526317596435547e+00
1.913003157824277878e-02,4.848277270793914795e-01,4.914535999298095703e+00
1.916803233325481415e-02,4.766222536563873291e-01,4.917340278625488281e+00
1.920603215694427490e-02,4.693521857261657715e-01,4.921212196350097656e+00
1.924403198063373566e-02,4.525235891342163086e-01,4.927824974060058594e+00
1.928203273564577103e-02,4.529514014720916748e-01,4.927717685699462891e+00
1.932003255933523178e-02,4.535953998565673828e-01,4.926937103271484375e+00
