# time,JS220-005622.i,JS220-005622.v
1.091301348060369492e-02,2.061028219759464264e-02,5.111873149871826172e+00
1.097101345658302307e-02,2.138701267540454865e-02,5.110671520233154297e+00
1.102901436388492584e-02,2.032358199357986450e-02,5.111182689666748047e+00
1.108701433986425400e-02,2.326088771224021912e-02,5.110033988952636719e+00
1.114501431584358215e-02,2.288931608200073242e-02,5.110304832458496094e+00
1.120301429182291031e-02,2.269204147160053253e-02,5.110121726989746094e+00
1.126101426780223846e-02,2.318434789776802063e-02,5.109866142272949219e+00
1.131901424378156662e-02,2.231012843549251556e-02,5.110033035278320312e+00
1.137701421976089478e-02,2.294268459081649780e-02,5.110215663909912109e+00
1.143501419574022293e-02,2.245432883501052856e-02,5.109876155853271484e+00
1.149301417171955109e-02,2.282929793000221252e-02,5.109802722930908203e+00
1.155101507902145386e-02,2.095531485974788666e-02,5.110310077667236328e+00
1.160901505500078201e-02,2.086349949240684509e-02,5.111367702484130859e+00
1.166801434010267258e-02,2.157761715352535248e-02,5.110734939575195312e+00
1.172601524740457535e-02,1.996365189552307129e-02,5.111090183258056641e+00
1.178401522338390350e-02,2.121425606310367584e-02,5.110990047454833984e+00
1.184201519936323166e-02,2.099574171006679535e-02,5.111173629760742188e+00
1.190001517534255981e-02,2.085199952125549316e-02,5.111245632171630859e+00
1.195801515132188797e-02,2.124454267323017120e-02,5.110411643981933594e+00
1.201601512730121613e-02,2.092546410858631134e-02,5.110921859741210938e+00
1.207401510328054428e-02,2.287779562175273895e-02,5.110082149505615234e+00
1.213201507925987244e-02,2.181760780513286591e-02,5.110902786254882812e+00
1.219001505523920059e-02,2.323368377983570099e-02,5.109967231750488281e+00
1.224801596254110336e-02,2.222741395235061646e-02,5.110292434692382812e+00
1.230601593852043152e-02,2.065922319889068604e-02,5.111161708831787109e+00
1.236401591449975967e-02,2.144739963114261627e-02,5.110374927520751953e+00
1.242201589047908783e-02,2.049786224961280823e-02,5.111391544342041016e+00
1.248001586645841599e-02,2.162479422986507416e-02,5.110878467559814453e+00
1.253801584243774414e-02,2.043787576258182526e-02,5.110286712646484375e+00
1.259601581841707230e-02,2.083988115191459656e-02,5.109937191009521484e+00
1.265401579439640045e-02,2.123342081904411316e-02,5.110515117645263672e+00
1.271201577037572861e-02,2.067490294575691223e-02,5.111300945281982422e+00
1.277001574635505676e-02,2.150581218302249908e-02,5.110657215118408203e+00
1.282901596277952194e-02,2.037653885781764984e-02,5.111250400543212891e+00
1.288701593875885010e-02,2.154278755187988281e-02,5.110720634460449219e+00
1.294501684606075287e-02,2.100116200745105743e-02,5.110888481140136719e+00
1.300301682204008102e-02,2.050469256937503815e-02,5.111351490020751953e+00
1.306101679801940918e-02,2.208777144551277161e-02,5.110354900360107422e+00
1.311901677399873734e-02,2.245617844164371490e-02,5.110365390777587891e+00
1.317701674997806549e-02,2.329852059483528137e-02,5.110026359558105469e+00
1.323501672595739365e-02,2.228494174778461456e-02,5.110427379608154297e+00
1.329301670193672180e-02,2.328971773386001587e-02,5.109839439392089844e+00
1.335101667791604996e-02,2.303711511194705963e-02,5.109553813934326172e+00
1.340901665389537811e-02,2.218819782137870789e-02,5.110076904296875000e+00
1.346701662987470627e-02,2.292626909911632538e-02,5.110333919525146484e+00
1.352501753717660904e-02,2.196480520069599152e-02,5.109838962554931641e+00
1.358301751315593719e-02,2.289387211203575134e-02,5.109615325927734375e+00
1.364101748913526535e-02,2.264841459691524506e-02,5.110112190246582031e+00
1.369901746511459351e-02,2.312969416379928589e-02,5.110211372375488281e+00
1.375701744109392166e-02,2.280632965266704559e-02,5.110205650329589844e+00
1.381501741707324982e-02,2.251267805695533752e-02,5.110143184661865234e+00
1.387301739305257797e-02,2.301773056387901306e-02,5.110053539276123047e+00
1.393101736903190613e-02,2.214102633297443390e-02,5.110214233398437500e+00
1.399001758545637131e-02,2.323115617036819458e-02,5.110728740692138672e+00
1.404801756143569946e-02,2.272396534681320190e-02,5.110466957092285156e+00
1.410601753741502762e-02,2.244049683213233948e-02,5.109414100646972656e+00
1.416401751339435577e-02,2.305910177528858185e-02,5.110238552093505859e+00
1.422201842069625854e-02,2.232105657458305359e-02,5.110469341278076172e+00
1.428001839667558670e-02,2.303987741470336914e-02,5.109926700592041016e+00
1.433801837265491486e-02,2.217242680490016937e-02,5.109399318695068359e+00
1.439601834863424301e-02,2.310532517731189728e-02,5.109748840332031250e+00
1.445401832461357117e-02,2.084656059741973877e-02,5.110693454742431641e+00
1.451201830059289932e-02,2.067613974213600159e-02,5.111304283142089844e+00
1.457001827657222748e-02,2.151453681290149689e-02,5.110576629638671875e+00
1.462801825255155563e-02,2.007280848920345306e-02,5.111685752868652344e+00
1.468601822853088379e-02,2.154247276484966278e-02,5.110776901245117188e+00
1.474401820451021194e-02,2.063085883855819702e-02,5.110818862915039062e+00
1.480201911181211472e-02,2.068642154335975647e-02,5.110423088073730469e+00
1.486001908779144287e-02,2.104950509965419769e-02,5.111245632171630859e+00
1.491801906377077103e-02,2.063599042594432831e-02,5.110777378082275391e+00
